exact,hear,summer,economics,brochak,session,dear,give,philosophy,event,please,oaa,clash,newly,come,semester,permission,po,open,refer,one,part,instead,could,need,jhawar,join,programme,timetable,tentative,unable,ds,rich,wait,soon,minor,send,civilisation,decide,would,year,cs,know,thanks,u,sir,class,spring,faculty,however,fifth,visible,tomorrow,plan,another,do,look,second,still,unlist,message,prepare,timing,science,tell,foundation,enlist,english,spf,want,hence,fall,travel,page,offer,math,appropriate,upcoming,attend,like,fc,option,removal,thank,gain,theory,prepared,begin,compulsary,lit,offering,computation,abir,regard,check,psych,ashoka,issue,registration,date,intro,show,occur,vacation,fac,introduction,interdicsiplinary,remove,next,forgot,new,time,wold,prospective,hi,announce,pm,asap,wonder,curricular,taught,register,physic,bazaz,rathi,major,mind,academic,area,inform,hello,political,mahavir,advance,ct,list,happen,network,help,separate,grant,reistration,go,backpacker,th,registrarion,cts,access,plese,delete,possible,grateful,opt,course,take,slot,language,architecture,professor,clarity,unique,due,accordingly,return,world,share,switch,mental,pol,helpful,hope,hey,fix,co,tuesday,selection,change,held,forward,cognitive,history,let,addition,long,ir,correct,behaviour,trend,really,drop,needful,database,ev,query,add,psy,monsoon,two,admin,scalable,spanish,low,psychology,sem,right,thursday,likely,prof,interdicsplinary,nd,madam,chan,indian,literature,relation,health,connectivity,Target_Class
0,0,0,0,0,0,0.209073509,0,0,0,0.17147797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.285886264,0,0,0,0,0,0,0,0,0,0,0,0,0,0.276824994,0,0,0,0,0,0,0,0,0,0,0.240552712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126144417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.571772529,0.463416885,0,0.391233288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
0,0,0,0,0,0,0.1681183,0,0,0,0.137887315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.338685254,0,0,0.372638596,0.222598011,0,0,0,0,0,0,0,0,0,0,0.193431072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20968955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.304302326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.689652835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
0,0,0,0,0,0,0.189563483,0,0,0,0.155476231,0,0,0,0,0.198153132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333655289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.420172403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.228746102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38188797,0,0,0,0,0.518416668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38188797,0,0,7
0,0,0,0,0,0,0.111578859,0,0,0,0.18302956,0,0,0,0,0,0.449565741,0,0,0.208794332,0,0,0,0,0,0,0.494634899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196392658,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24731745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128378756,0,0,0,0,0,0,0,0,0,0,0,0.24731745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24731745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.224782871,0,0,0,0,0,0,0,0,0,0,0,0,0.067321059,0,0,0,0,0,0,0,0,0,0,0.177692504,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24731745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.163725174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.224782871,0,0,0,6
0,0,0,0,0,0,0.121889594,0,0,0,0.099971442,0,0,0,0,0,0,0,0,0,0,0,0,0,0.214540834,0,0,0,0,0,0,0,0,0,0,0.270171463,0,0,0,0,0,0,0,0,0,0,0,0,0,0.270171463,0,0,0,0,0,0.333342668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.245554518,0,0.194112643,0,0,0,0,0,0,0,0,0,0,0,0,0.270171463,0,0,0,0,0,0,0,0,0,0.322777249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.214540834,0,0,0,0,0,0,0,0,0,0,0,0,0.491109036,0.152029696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29416815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0.160443357,0,0,0,0.131592478,0,0,0,0,0,0.323223582,0,0,0,0,0,0,0,0,0.323223582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.282400249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.355626885,0,0,0,0,0,0.355626885,0,0,0,0,0,0,0.212435958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.282400249,0,0,0,0,0,0,0,0,0,0,0.355626885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19360687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.355626885,0,0,0,0,0,0,0,0,0,6
0,0,0.459467005,0,0,0,0.137621797,0,0,0,0.112874685,0,0,0,0.277248065,0.143857824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.305042302,0,0,0,0,0.324997229,0,0,0,0,0,0,0,0,0,0,0,0,0.188183485,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18221894,0,0,0,0,0.18221894,0,0,0,0,0,0.158342856,0,0,0,0,0,0,0,0,0,0,0,0,0.305042302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083034056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.219166624,0,0,0,0,0,0,0,0,0,0,0,0.305042302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.305042302,0,0,0,0,9
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.312195939,0,0,0,0.279439492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20419508,0,0,0.176324812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.197723042,0,0,0,0,0.197723042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.422568792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.219121271,0,0,0,0,0.171815461,0,0,0,0,0.18625708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27029703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.330996832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.300837722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.330996832,0,0,0,0,0,0,0,0,0,0,9
0,0,0.287493941,0,0,0,0,0,0,0,0,0,0,0,0,0.180027085,0,0,0,0.322276308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.235497266,0,0,0,0,0,0.346954789,0,0,0,0,0,0,0,0.228033093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.381737156,0,0,0,0,0.243673342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.429618903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.207821565,0,0,0,0,0,0,0,0,0.346954789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0.099022077,0,0,0,0,0,0,0,0,0.103509043,0,0,0,0,0,0,0,0.370594372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.199486418,0.135402385,0,0,0,0.174291163,0,0,0,0,0.219485017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.157695473,0,0.199486418,0,0,0,0,0,0,0.438970034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140103332,0,0,0,0,0,0,0,0,0,0,0,0,0,0.398972836,0,0,0.145299988,0,0,0,0,0,0,0,0,0,0.123507642,0,0,0,0,0,0,0,0,0,0,0,0.219485017,0,0,0,0.219485017,0,0.119489861,0,0,0,0,0,0.219485017,0,0,0,0,0,0,0,0,0,0,0,0,0.185297186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.199486418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0.155279651,0,0,0,0,0,0,0,0.31282096,0.162315804,0,0,0,0,0,0,0,0,0.273311484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.290570377,0,0,0,0,0,0,0,0,0,0,0,0,0.31282096,0,0,0,0,0,0,0,0,0.18834003,0,0,0,0,0,0,0,0,0,0.344181395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.411197846,0.259209941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.093687915,0,0,0,0,0,0,0,0,0.31282096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31282096,0,0,0,0,0,0,0,10
0,0,0,0,0,0,0,0,0,0,0.13992811,0,0,0,0,0,0,0,0,0,0,0,0,0.319251124,0,0,0,0,0.284795257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.378153818,0,0,0,0,0,0,0,0,0,0,0.620790395,0,0,0,0,0,0,0,0,0,0,0,0,0.271695745,0,0,0,0,0.19629394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19629394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.343697951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
0,0,0,0,0,0,0,0,0,0,0.130344252,0,0,0,0,0,0,0,0,0,0,0,0,0.297385199,0,0,0,0,0.265289259,0,0,0,0,0,0,0,0.35225357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.385514435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35225357,0,0,0,0,0,0,0,0,0,0.265289259,0,0,0.198218578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.191770403,0,0.233193319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35225357,0,0,0,0,0,0,0,0,0,0,0,0.32015763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
0,0,0,0,0,0,0.224246148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.543980182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.394701091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135298823,0,0,0,0,0,0,0,0,0,0,0.357118365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.419625415,0,0,0,0,0,0,0.419625415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
0,0,0,0,0,0,0.118406621,0,0,0.262451363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161908731,0,0,0.139810061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.238537843,0.143616414,0,0,0,0,0,0,0,0.238537843,0,0,0,0,0,0,0,0,0.167529935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.313553949,0.197657408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.262451363,0,0,0,0,0.524902727,0,0,0,0,0.262451363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142881174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.262451363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.262451363,8
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.249751888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.367955922,0,0,0,0,0,0,0,0.367955922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.483671819,0.304895915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40484366,0,0,0,0,0,0.40484366,0,0,0,0,0,0,0,0.11020049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
0,0,0,0,0,0,0,0,0,0,0.217182423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.466078085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.330276099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31953201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.724168493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26554293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.274762142,0.22343526,0,0,0.324173545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.242215683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117168127,0.309262779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53108586,0,0,0.363393582,0,0,0,0,0,0,0,0,0,0,0.341809238,0,0,0,0,0,0,0,0,0,0,0,0,0,7
